coleccion,diseno,tipo,archivo_zip,archivo_original
01_Arte_Moderno_IA,01_Ultima_Cena_IA,Principal,01_Arte_Moderno_IA/01_Ultima_Cena_IA/01_Principal_36x17.png,banquete_futurista_y_celestial.png
01_Arte_Moderno_IA,01_Ultima_Cena_IA,Demo de escritorio,01_Arte_Moderno_IA/01_Ultima_Cena_IA/02_Demo_Escritorio.png,estación_de_trabajo_futurista_y_minimalista.png
01_Arte_Moderno_IA,02_Mona_Lisa_Bitcoin,Principal,01_Arte_Moderno_IA/02_Mona_Lisa_Bitcoin/01_Principal_36x17.png,retrato_futurista_en_un_paisaje_dorado.png
01_Arte_Moderno_IA,02_Mona_Lisa_Bitcoin,Demo de escritorio,01_Arte_Moderno_IA/02_Mona_Lisa_Bitcoin/02_Demo_Escritorio.png,escena_de_escritorio_con_toque_dorado.png
01_Arte_Moderno_IA,03_Creacion_Humano_IA,Principal,01_Arte_Moderno_IA/03_Creacion_Humano_IA/01_Principal_36x17.png,el_toque_entre_lo_humano_y_lo_digital.png
01_Arte_Moderno_IA,03_Creacion_Humano_IA,Demo de escritorio,01_Arte_Moderno_IA/03_Creacion_Humano_IA/02_Demo_Escritorio.png,estilo_moderno_en_un_escritorio_minimalista.png
01_Arte_Moderno_IA,04_Nacimiento_Digital,Principal,01_Arte_Moderno_IA/04_Nacimiento_Digital/01_Principal_36x17.png,diosa_futurista_emergiendo_del_océano.png
01_Arte_Moderno_IA,04_Nacimiento_Digital,Demo de escritorio,01_Arte_Moderno_IA/04_Nacimiento_Digital/02_Demo_Escritorio.png,espacios_de_trabajo_con_inspiración_mítica.png
01_Arte_Moderno_IA,05_El_Grito_Cyberpunk,Principal,01_Arte_Moderno_IA/05_El_Grito_Cyberpunk/01_Principal_36x17.png,el_grito_en_la_ciudad_distorsionada.png
01_Arte_Moderno_IA,05_El_Grito_Cyberpunk,Demo de escritorio,01_Arte_Moderno_IA/05_El_Grito_Cyberpunk/02_Demo_Escritorio.png,escena_futurista_con_paisaje_ciberpunk.png
02_Arte_Moderno_II,01_Noche_Estrellada_Cyber,Principal,02_Arte_Moderno_II/01_Noche_Estrellada_Cyber/01_Principal_36x17.png,nocturna_cibernética_sobre_la_ciudad.png
02_Arte_Moderno_II,01_Noche_Estrellada_Cyber,Demo de escritorio,02_Arte_Moderno_II/01_Noche_Estrellada_Cyber/02_Demo_Escritorio.png,escritorio_moderno_con_galaxia_estrellada.png
02_Arte_Moderno_II,02_Joven_de_la_Perla_Futurista,Principal,02_Arte_Moderno_II/02_Joven_de_la_Perla_Futurista/01_Principal_36x17.png,retrato_futurista_con_toques_barrocos.png
02_Arte_Moderno_II,02_Joven_de_la_Perla_Futurista,Demo de escritorio,02_Arte_Moderno_II/02_Joven_de_la_Perla_Futurista/02_Demo_Escritorio.png,escena_de_escritorio_elegante_y_minimalista.png
02_Arte_Moderno_II,03_Ola_Digital,Principal,02_Arte_Moderno_II/03_Ola_Digital/01_Principal_36x17.png,ola_digital_con_ciudad_futurista.png
02_Arte_Moderno_II,03_Ola_Digital,Demo de escritorio,02_Arte_Moderno_II/03_Ola_Digital/02_Demo_Escritorio.png,estación_de_trabajo_iluminada_en_azul.png
02_Arte_Moderno_II,04_American_Gothic_IA,Principal,02_Arte_Moderno_II/04_American_Gothic_IA/01_Principal_36x17.png,retrato_futurista_en_campo_rural.png
02_Arte_Moderno_II,04_American_Gothic_IA,Demo de escritorio,02_Arte_Moderno_II/04_American_Gothic_IA/02_Demo_Escritorio.png,escritorio_minimalista_con_ilustración_vintage.png
02_Arte_Moderno_II,05_Abrazo_Dorado,Principal,02_Arte_Moderno_II/05_Abrazo_Dorado/01_Principal_36x17.png,abrazos_con_arte_y_oro.png
02_Arte_Moderno_II,05_Abrazo_Dorado,Demo de escritorio,02_Arte_Moderno_II/05_Abrazo_Dorado/02_Demo_Escritorio.png,espacio_de_trabajo_con_toque_artístico.png
03_Arte_Moderno_III,01_Ciudad_Celeste,Principal,03_Arte_Moderno_III/01_Ciudad_Celeste/01_Principal_36x17.png,ciudades_futuristas_bajo_cielo_estrellado.png
03_Arte_Moderno_III,01_Ciudad_Celeste,Demo de escritorio,03_Arte_Moderno_III/01_Ciudad_Celeste/02_Demo_Escritorio.png,escena_de_escritorio_futurista_y_elegante.png
03_Arte_Moderno_III,02_Retrato_Celestial,Principal,03_Arte_Moderno_III/02_Retrato_Celestial/01_Principal_36x17.png,retrato_celestial_con_detalles_dorados.png
03_Arte_Moderno_III,02_Retrato_Celestial,Demo de escritorio,03_Arte_Moderno_III/02_Retrato_Celestial/02_Demo_Escritorio.png,escritorio_minimalista_con_arte_elegante.png
03_Arte_Moderno_III,03_Ola_Dorada,Principal,03_Arte_Moderno_III/03_Ola_Dorada/01_Principal_36x17.png,ola_dorada_y_ciudad_futurista.png
03_Arte_Moderno_III,03_Ola_Dorada,Demo de escritorio,03_Arte_Moderno_III/03_Ola_Dorada/02_Demo_Escritorio.png,espacio_de_trabajo_minimalista_y_elegante.png
03_Arte_Moderno_III,04_Futuro_Rural,Principal,03_Arte_Moderno_III/04_Futuro_Rural/01_Principal_36x17.png,futuro_rural_y_automatización_avanzada.png
03_Arte_Moderno_III,04_Futuro_Rural,Demo de escritorio,03_Arte_Moderno_III/04_Futuro_Rural/02_Demo_Escritorio.png,espacio_de_trabajo_minimalista_y_rural.png
03_Arte_Moderno_III,05_Enlace_Art_Deco,Principal,03_Arte_Moderno_III/05_Enlace_Art_Deco/01_Principal_36x17.png,enlace_romántico_en_estilo_art_deco.png
03_Arte_Moderno_III,05_Enlace_Art_Deco,Demo de escritorio,03_Arte_Moderno_III/05_Enlace_Art_Deco/02_Demo_Escritorio.png,espacio_de_trabajo_romántico_y_ornamentado.png
04_Espacio,01_Ciudad_Galactica,Principal,04_Espacio/01_Ciudad_Galactica/01_Principal_36x17.png,ciudad_futurista_bajo_un_cosmos_estrellado.png
04_Espacio,01_Ciudad_Galactica,Demo de escritorio,04_Espacio/01_Ciudad_Galactica/02_Demo_Escritorio.png,escritorio_futurista_con_paisajes_cósmicos.png
04_Espacio,02_Astronauta_y_Planeta_Anillado,Principal,04_Espacio/02_Astronauta_y_Planeta_Anillado/01_Principal_36x17.png,vista_espacial_con_planeta_gigante_y_astronauta.png
04_Espacio,02_Astronauta_y_Planeta_Anillado,Demo de escritorio,04_Espacio/02_Astronauta_y_Planeta_Anillado/02_Demo_Escritorio.png,escritorio_gamer_con_arte_galáctico.png
04_Espacio,03_Base_Lunar,Principal,04_Espacio/03_Base_Lunar/01_Principal_36x17.png,base_lunar_futurista_al_amanecer.png
04_Espacio,03_Base_Lunar,Demo de escritorio,04_Espacio/03_Base_Lunar/02_Demo_Escritorio.png,escritorio_moderno_con_temática_lunar.png
